"﻿state.country.isoCode";"state.id";"name";"nameExtension";"postalCode";"areaCode";"language";"population"
"DE";"RP";"Aach";"b Trier";54298;651;"de";
"DE";"RP";"Abentheuer";;55767;6782;"de";
"DE";"RP";"Abtweiler";;55568;6753;"de";
"DE";"RP";"Acht";;56729;2656;"de";
"DE";"RP";"Achtelsbach";;55767;6782;"de";
"DE";"RP";"Adenau";;53518;2691;"de";
"DE";"RP";"Adenbach";;67742;6753;"de";
"DE";"RP";"Affler";;54689;6524;"de";
"DE";"RP";"Aftholderbach";;56355;6772;"de";
"DE";"RP";"Ahrbrück";;53506;2643;"de";
"DE";"RP";"Ailertchen";;56459;2663;"de";
"DE";"RP";"Albersweiler";;76857;6345;"de";
"DE";"RP";"Alberthofen";;57614;2684;"de";
"DE";"RP";"Albessen";;66871;6384;"de";
"DE";"RP";"Albig";;55234;6731;"de";
"DE";"RP";"Albisheim";"(Pfrimm)";67308;6355;"de";
"DE";"RP";"Alf";;56859;6542;"de";
"DE";"RP";"Alflen";;56828;2678;"de";
"DE";"RP";"Alken";", Mosel";56332;2605;"de";
"DE";"RP";"Allenbach";", Hunsrück";55758;6786;"de";
"DE";"RP";"Allendorf";", Rhein-Lahn-Kr";56370;6486;"de";
"DE";"RP";"Allenfeld";;55595;6756;"de";
"DE";"RP";"Almersbach";;57610;2681;"de";
"DE";"RP";"Alpenrod";;57642;2662;"de";
"DE";"RP";"Alsau";;53547;2638;"de";
"DE";"RP";"Alsbach";", Westerw";56237;2601;"de";
"DE";"RP";"Alsdorf";", Eifel";54668;6568;"de";
"DE";"RP";"Alsdorf";", Sieg";57518;2741;"de";
"DE";"RP";"Alsenz";;67821;6362;"de";
"DE";"RP";"Alsheim";", Rheinhess";67577;6249;"de";
"DE";"RP";"Altbrand";;76726;7274;"de";
"DE";"RP";"Altdorf";", Pfalz";67482;6327;"de";
"DE";"RP";"Altenahr";;53505;2643;"de";
"DE";"RP";"Altenbamberg";;55585;6708;"de";
"DE";"RP";"Altendiez";;65624;6432;"de";
"DE";"RP";"Altenglan";;66885;6381;"de";
"DE";"RP";"Altenhof";"b Oberweis, Eifel";54636;6527;"de";
"DE";"RP";"Altenhof";"b Kyllburg";54655;6594;"de";
"DE";"RP";"Altenhof";"b Kaiserslautern";67677;6303;"de";
"DE";"RP";"Altenkirchen";"(Westerwald)";57610;2681;"de";
"DE";"RP";"Altenkirchen";", Pfalz";66903;6386;"de";
"DE";"RP";"Alterkülz";;56288;6762;"de";
"DE";"RP";"Althornbach";;66484;6338;"de";
"DE";"RP";"Altlay";;56858;6543;"de";
"DE";"RP";"Altleiningen";;67317;6356;"de";
"DE";"RP";"Altrich";;54518;6571;"de";
"DE";"RP";"Altrip";", Kr Ludwigshafen am Rhein";67122;6236;"de";
"DE";"RP";"Altscheid";;54636;6527;"de";
"DE";"RP";"Altstrimmig";;56858;6545;"de";
"DE";"RP";"Altweidelbach";;55469;6761;"de";
"DE";"RP";"Alzey";;55232;6731;"de";
"DE";"RP";"Am Sandweiher";;66849;6371;"de";
"DE";"RP";"Ammeldingen";"bei Neuerburg";54673;6564;"de";
"DE";"RP";"Ammeldingen";"an der Our";54675;6566;"de";
"DE";"RP";"Andernach";;56626;2632;"de";
"DE";"RP";"Anhausen";", Kr Neuwied";56584;2639;"de";
"DE";"RP";"Annweiler";"am Trifels";76855;6346;"de";
"DE";"RP";"Anschau";;56729;2656;"de";
"DE";"RP";"Antweiler";"b Adenau";53533;2693;"de";
"DE";"RP";"Appenheim";", Rheinhess";55437;6725;"de";
"DE";"RP";"Arbach";;56769;2657;"de";
"DE";"RP";"Aremberg";", Eifel";53533;2693;"de";
"DE";"RP";"Arenrath";;54518;6575;"de";
"DE";"RP";"Arft";;56729;2655;"de";
"DE";"RP";"Argenschwang";;55595;6706;"de";
"DE";"RP";"Argenthal";;55496;6761;"de";
"DE";"RP";"Armsheim";", Rheinhess";55288;6734;"de";
"DE";"RP";"Arnsau";;53547;2638;"de";
"DE";"RP";"Arnshöfen";;56244;2666;"de";
"DE";"RP";"Artamhof";;66849;6371;"de";
"DE";"RP";"Arzbach";", Westerw";56337;2603;"de";
"DE";"RP";"Arzfeld";;54687;6550;"de";
"DE";"RP";"Asbach";", Westerw";53567;2683;"de";
"DE";"RP";"Asbach";", Hunsrück";55758;6786;"de";
"DE";"RP";"Asbacherhütte";;55758;6786;"de";
"DE";"RP";"Aschbach";", Pfalz";67753;6304;"de";
"DE";"RP";"Aspisheim";;55459;6727;"de";
